片号,长度_mm,宽度_mm
1,10.033,4.974
2,10.031,4.905
3,9.967,5.063
4,9.985,5.021
5,9.952,5.054
6,10.044,5.047
7,9.982,5.020
8,9.955,5.017
9,9.900,5.020
10,10.032,4.986
11,10.069,4.996
12,10.089,4.982
13,9.962,4.995
14,10.170,4.935
15,9.982,4.986
16,10.038,4.939
17,10.100,4.925
18,10.081,4.990
19,9.952,5.031
20,9.916,4.998
21,9.934,4.947
22,9.934,4.995
23,10.086,4.984
24,10.070,4.974
25,10.037,5.029
26,9.990,5.030
27,10.017,5.014
28,9.913,5.008
29,10.088,4.922
30,9.993,4.997
31,10.006,5.013
32,10.030,4.974
33,9.991,4.957
34,9.916,4.961
35,9.989,4.987
36,10.119,4.972
37,10.189,4.995
38,10.156,5.090
39,10.132,5.009
40,10.182,4.914
41,10.120,5.001
42,10.180,4.973
43,10.150,5.012
44,10.177,4.980
45,10.185,5.026
46,10.098,4.870
47,10.167,5.054
48,10.138,5.079
49,10.074,5.005
50,10.182,4.958
