周次,产量,备注
1,102.82,季节+趋势
2,100.41,季节+趋势
3,98.13,季节+趋势
4,102.03,季节+趋势
5,103.41,季节+趋势
6,99.73,季节+趋势
7,98.50,季节+趋势
8,101.33,季节+趋势
9,103.91,季节+趋势
10,98.95,季节+趋势
11,98.60,季节+趋势
12,101.87,季节+趋势
13,103.94,季节+趋势
14,99.59,季节+趋势
15,99.91,季节+趋势
16,104.23,季节+趋势
17,104.34,季节+趋势
18,101.98,季节+趋势
19,101.00,季节+趋势
20,102.30,季节+趋势
21,104.95,季节+趋势
22,103.02,季节+趋势
23,103.22,季节+趋势
24,104.92,季节+趋势
25,105.71,季节+趋势
26,101.75,季节+趋势
27,101.33,季节+趋势
28,105.18,季节+趋势
29,108.06,季节+趋势
30,105.26,季节+趋势
31,103.21,季节+趋势
32,106.18,季节+趋势
33,107.26,季节+趋势
34,103.97,季节+趋势
35,101.69,季节+趋势
36,108.49,季节+趋势
37,107.35,季节+趋势
38,104.15,季节+趋势
39,104.36,季节+趋势
40,108.45,季节+趋势
41,108.10,季节+趋势
42,104.80,季节+趋势
43,104.85,季节+趋势
44,106.74,季节+趋势
45,110.55,季节+趋势
46,105.06,季节+趋势
47,104.25,季节+趋势
48,107.15,季节+趋势
