周次,产量,备注
1,93.57,噪声趋势
2,96.01,噪声趋势
3,91.09,噪声趋势
4,89.99,噪声趋势
5,89.84,噪声趋势
6,96.55,噪声趋势
7,94.75,噪声趋势
8,89.16,噪声趋势
9,89.93,噪声趋势
10,82.65,噪声趋势
11,89.80,噪声趋势
12,93.74,噪声趋势
13,90.07,噪声趋势
14,93.48,噪声趋势
15,93.59,噪声趋势
16,90.95,噪声趋势
17,90.89,噪声趋势
18,89.14,噪声趋势
19,89.96,噪声趋势
20,93.64,噪声趋势
21,90.53,噪声趋势
22,95.97,噪声趋势
23,97.30,噪声趋势
24,98.66,噪声趋势
25,94.88,噪声趋势
26,96.99,噪声趋势
27,98.36,噪声趋势
28,96.59,噪声趋势
29,99.14,噪声趋势
30,101.95,噪声趋势
31,94.80,噪声趋势
32,89.02,噪声趋势
33,99.27,噪声趋势
34,94.77,噪声趋势
35,98.19,噪声趋势
36,96.71,噪声趋势
37,106.30,噪声趋势
38,102.52,噪声趋势
39,98.83,噪声趋势
40,102.57,噪声趋势
