周次,良率_pct,产量_件,年份
1,96.71,8159,2026
2,97.04,7919,2026
3,97.03,7935,2026
4,97.48,8138,2026
5,96.99,7901,2026
6,97.26,8131,2026
7,98.08,7876,2026
8,98.61,7836,2026
9,97.68,7830,2026
10,98.34,8183,2026
11,98.52,8091,2026
12,98.62,8039,2026
13,98.04,8152,2026
14,98.07,7939,2026
15,98.52,8056,2026
16,97.63,8106,2026
17,97.82,7820,2026
18,98.29,8109,2026
19,97.20,7928,2026
20,97.71,8145,2026
21,97.26,8094,2026
22,96.92,8191,2026
23,96.71,8144,2026
24,96.73,8190,2026
25,95.77,8187,2026
26,96.20,8026,2026
27,96.15,7942,2026
28,95.68,8125,2026
29,95.69,8051,2026
30,95.41,8009,2026
31,94.66,7970,2026
32,94.45,7882,2026
33,94.51,7968,2026
34,93.78,8139,2026
35,94.28,8005,2026
36,94.11,8032,2026
37,93.35,7845,2026
38,93.62,8195,2026
39,94.04,8006,2026
40,94.21,7800,2026
41,93.18,8136,2026
42,94.09,7827,2026
43,93.54,7896,2026
44,93.42,8055,2026
45,94.04,8120,2026
46,94.13,7936,2026
47,94.47,8081,2026
48,94.83,8157,2026
49,95.05,8048,2026
50,95.80,8111,2026
51,95.98,7922,2026
52,95.37,7807,2026
