膜厚_um,产线,抽检批次,检测时间
12.391,A线,B1,2026-01-01
12.456,A线,B1,2026-01-02
12.224,A线,B1,2026-01-03
12.338,A线,B1,2026-01-04
12.415,A线,B1,2026-01-05
12.562,A线,B1,2026-01-06
12.679,A线,B1,2026-01-07
12.497,A线,B1,2026-01-08
12.539,A线,B1,2026-01-09
12.525,A线,B1,2026-01-10
12.663,A线,B2,2026-01-11
12.634,A线,B2,2026-01-12
12.541,A线,B2,2026-01-13
12.348,A线,B2,2026-01-14
12.636,A线,B2,2026-01-15
12.557,A线,B2,2026-01-16
12.684,A线,B2,2026-01-17
12.496,A线,B2,2026-01-18
12.793,A线,B2,2026-01-19
12.446,A线,B2,2026-01-20
12.739,A线,B3,2026-01-21
12.517,A线,B3,2026-01-22
12.423,A线,B3,2026-01-23
12.331,A线,B3,2026-01-24
12.477,A线,B3,2026-01-25
12.713,A线,B3,2026-01-26
12.622,A线,B3,2026-01-27
12.603,A线,B3,2026-01-28
12.144,A线,B3,2026-01-01
12.607,A线,B3,2026-01-02
12.883,B线,B4,2026-01-03
12.718,B线,B4,2026-01-04
12.706,B线,B4,2026-01-05
12.800,B线,B4,2026-01-06
13.059,B线,B4,2026-01-07
12.642,B线,B4,2026-01-08
12.736,B线,B4,2026-01-09
13.004,B线,B4,2026-01-10
12.733,B线,B4,2026-01-11
12.745,B线,B4,2026-01-12
12.815,B线,B5,2026-01-13
12.614,B线,B5,2026-01-14
12.833,B线,B5,2026-01-15
12.619,B线,B5,2026-01-16
12.933,B线,B5,2026-01-17
12.800,B线,B5,2026-01-18
13.143,B线,B5,2026-01-19
12.842,B线,B5,2026-01-20
13.005,B线,B5,2026-01-21
12.605,B线,B5,2026-01-22
12.782,B线,B6,2026-01-23
12.848,B线,B6,2026-01-24
13.062,B线,B6,2026-01-25
12.548,B线,B6,2026-01-26
12.949,B线,B6,2026-01-27
12.889,B线,B6,2026-01-28
13.030,B线,B6,2026-01-01
12.907,B线,B6,2026-01-02
12.808,B线,B6,2026-01-03
12.722,B线,B6,2026-01-04
