次序,A线厚度_um,B线厚度_um,备注
1,100.92,99.37,B方差大
2,100.65,99.39,B方差大
3,100.96,100.21,B方差大
4,99.24,102.66,B方差大
5,99.13,97.91,B方差大
6,100.21,100.44,B方差大
7,100.19,98.95,B方差大
8,100.10,99.72,B方差大
9,99.79,99.78,B方差大
10,101.45,101.18,B方差大
11,99.98,97.53,B方差大
12,100.13,101.94,B方差大
13,100.54,98.60,B方差大
14,101.33,97.97,B方差大
15,99.60,99.68,B方差大
16,98.79,98.09,B方差大
17,98.89,103.70,B方差大
18,100.03,99.65,B方差大
19,99.25,101.32,B方差大
20,99.20,98.09,B方差大
21,99.12,99.83,B方差大
22,100.28,102.52,B方差大
23,100.53,96.14,B方差大
24,99.87,100.23,B方差大
25,99.58,101.20,B方差大
