子组,厚度_um,备注
1,100.32,基线
1,99.76,基线
1,100.22,基线
1,100.19,基线
1,100.03,基线
2,98.81,基线
2,100.90,基线
2,99.95,基线
2,99.42,基线
2,99.30,基线
3,99.25,基线
3,100.08,基线
3,100.11,基线
3,100.14,基线
3,100.73,基线
4,99.21,基线
4,100.96,基线
4,99.78,基线
4,99.69,基线
4,99.81,基线
5,100.50,基线
5,99.46,基线
5,100.71,基线
5,99.23,基线
5,100.19,基线
6,99.17,基线
6,100.19,基线
6,99.39,基线
6,99.83,基线
6,99.29,基线
7,98.75,基线
7,98.97,基线
7,100.73,基线
7,99.39,基线
7,99.64,基线
8,99.75,基线
8,100.33,基线
8,99.48,基线
8,99.18,基线
8,100.87,基线
9,99.08,基线
9,100.13,基线
9,100.40,基线
9,100.92,基线
9,100.79,基线
10,99.76,基线
10,100.44,基线
10,99.36,基线
10,99.88,基线
10,99.36,基线
11,99.48,基线
11,101.29,基线
11,99.20,基线
11,98.89,基线
11,99.77,基线
12,100.33,极差尖峰
12,99.35,极差尖峰
12,99.84,极差尖峰
12,100.19,极差尖峰
12,106.00,极差尖峰
13,100.09,基线
13,99.89,基线
13,99.92,基线
13,100.97,基线
13,101.10,基线
14,101.24,基线
14,99.65,基线
14,99.60,基线
14,101.56,基线
14,99.22,基线
15,100.77,基线
15,99.59,基线
15,101.39,基线
15,100.10,基线
15,100.19,基线
16,100.28,基线
16,100.77,基线
16,100.81,基线
16,100.37,基线
16,100.46,基线
17,99.02,基线
17,100.47,基线
17,99.22,基线
17,99.26,基线
17,99.96,基线
18,99.92,基线
18,100.74,基线
18,99.41,基线
18,99.61,基线
18,100.83,基线
19,99.35,基线
19,99.55,基线
19,101.19,基线
19,99.64,基线
19,100.62,基线
20,102.72,均值台阶
20,102.55,均值台阶
20,102.32,均值台阶
20,102.13,均值台阶
20,102.94,均值台阶
21,101.03,均值台阶
21,100.94,均值台阶
21,101.84,均值台阶
21,101.84,均值台阶
21,102.01,均值台阶
22,102.52,均值台阶
22,102.64,均值台阶
22,102.19,均值台阶
22,101.33,均值台阶
22,103.23,均值台阶
23,101.48,均值台阶
23,102.26,均值台阶
23,102.04,均值台阶
23,101.30,均值台阶
23,100.75,均值台阶
24,101.12,均值台阶
24,101.50,均值台阶
24,101.31,均值台阶
24,101.47,均值台阶
24,103.01,均值台阶
25,102.55,均值台阶
25,102.52,均值台阶
25,100.94,均值台阶
25,102.95,均值台阶
25,101.80,均值台阶
