子组,厚度_um,备注
1,100.35,基线
1,99.27,基线
1,99.99,基线
1,99.92,基线
1,99.40,基线
1,99.22,基线
1,99.32,基线
1,100.08,基线
2,100.02,基线
2,100.61,基线
2,98.96,基线
2,99.40,基线
2,99.41,基线
2,99.71,基线
2,99.60,基线
2,100.93,基线
3,99.91,基线
3,100.19,基线
3,99.32,基线
3,99.75,基线
3,100.31,基线
3,99.43,基线
3,99.77,基线
3,99.48,基线
4,99.76,基线
4,100.01,基线
4,99.60,基线
4,100.10,基线
4,99.61,基线
4,100.26,基线
4,99.85,基线
4,99.44,基线
5,99.48,基线
5,100.36,基线
5,99.59,基线
5,99.56,基线
5,100.06,基线
5,99.07,基线
5,99.59,基线
5,100.66,基线
6,99.92,基线
6,99.91,基线
6,99.58,基线
6,100.26,基线
6,99.61,基线
6,100.48,基线
6,100.97,基线
6,99.75,基线
7,99.95,基线
7,100.16,基线
7,99.97,基线
7,99.41,基线
7,100.48,基线
7,100.12,基线
7,101.03,基线
7,101.65,基线
8,100.00,基线
8,100.70,基线
8,101.17,基线
8,100.28,基线
8,99.88,基线
8,100.00,基线
8,99.05,基线
8,99.30,基线
9,99.25,基线
9,100.12,基线
9,100.57,基线
9,99.75,基线
9,98.85,基线
9,99.54,基线
9,99.64,基线
9,99.38,基线
10,99.57,基线
10,100.71,基线
10,100.09,基线
10,99.03,基线
10,100.13,基线
10,100.49,基线
10,99.71,基线
10,99.94,基线
11,100.07,基线
11,99.53,基线
11,99.88,基线
11,100.46,基线
11,100.23,基线
11,101.12,基线
11,99.82,基线
11,100.18,基线
12,100.32,基线
12,99.00,基线
12,100.30,基线
12,100.12,基线
12,100.69,基线
12,100.19,基线
12,99.71,基线
12,99.64,基线
13,100.11,基线
13,99.66,基线
13,99.68,基线
13,100.54,基线
13,99.32,基线
13,100.34,基线
13,99.65,基线
13,99.87,基线
14,101.69,σ台阶
14,100.44,σ台阶
14,98.73,σ台阶
14,101.46,σ台阶
14,103.43,σ台阶
14,101.14,σ台阶
14,100.77,σ台阶
14,100.52,σ台阶
15,97.76,σ台阶
15,100.78,σ台阶
15,102.81,σ台阶
15,101.94,σ台阶
15,97.22,σ台阶
15,100.30,σ台阶
15,98.17,σ台阶
15,100.77,σ台阶
16,98.57,σ台阶
16,101.04,σ台阶
16,97.71,σ台阶
16,101.22,σ台阶
16,99.39,σ台阶
16,97.75,σ台阶
16,100.76,σ台阶
16,100.87,σ台阶
17,98.70,σ台阶
17,99.93,σ台阶
17,97.96,σ台阶
17,102.22,σ台阶
17,100.74,σ台阶
17,99.61,σ台阶
17,99.79,σ台阶
17,101.99,σ台阶
18,102.24,σ台阶
18,102.42,σ台阶
18,103.02,σ台阶
18,99.55,σ台阶
18,100.54,σ台阶
18,98.64,σ台阶
18,100.11,σ台阶
18,100.69,σ台阶
19,98.25,σ台阶
19,100.49,σ台阶
19,102.23,σ台阶
19,101.64,σ台阶
19,98.21,σ台阶
19,101.96,σ台阶
19,100.63,σ台阶
19,99.46,σ台阶
20,96.89,σ台阶
20,99.95,σ台阶
20,99.64,σ台阶
20,98.38,σ台阶
20,98.88,σ台阶
20,100.26,σ台阶
20,100.31,σ台阶
20,101.33,σ台阶
