片号,尺寸_mm,产品型号
1,10.006,A
2,10.090,A
3,9.929,A
4,10.052,A
5,9.938,A
6,10.041,A
7,9.809,A
8,9.967,A
9,11.841,B
10,12.223,B
11,12.400,B
12,12.081,B
13,11.918,B
14,12.036,B
15,11.881,B
16,12.103,B
17,8.234,C
18,8.010,C
19,7.871,C
20,7.846,C
21,7.786,C
22,7.754,C
23,7.811,C
24,8.020,C
25,10.292,A
26,9.887,A
27,10.034,A
28,10.065,A
29,10.172,A
30,9.881,A
31,10.102,A
32,10.014,A
33,12.373,B
34,12.583,B
35,12.441,B
36,12.578,B
37,12.136,B
38,12.335,B
39,12.344,B
40,12.112,B
41,8.123,C
42,8.005,C
43,8.157,C
44,7.875,C
45,7.946,C
46,8.103,C
47,8.288,C
48,7.594,C
