片号,厚度_um,备注
1,99.93,基线
2,99.72,基线
3,100.35,基线
4,100.25,基线
5,100.04,基线
6,99.62,基线
7,100.46,基线
8,99.60,基线
9,99.38,基线
10,99.97,基线
11,99.51,基线
12,99.77,基线
13,100.26,基线
14,99.37,基线
15,99.95,基线
16,100.00,基线
17,100.06,基线
18,100.23,基线
19,100.82,基线
20,99.21,基线
21,99.46,基线
22,100.53,基线
23,100.80,基线
24,100.59,同侧游程
25,100.83,同侧游程
26,100.58,同侧游程
27,100.72,同侧游程
28,100.80,同侧游程
29,100.43,同侧游程
30,100.67,同侧游程
31,100.54,同侧游程
32,100.48,同侧游程
33,100.63,同侧游程
34,99.48,基线
35,100.77,基线
36,100.01,基线
37,100.05,基线
38,100.03,基线
39,100.81,基线
40,99.42,基线
41,99.48,基线
42,100.62,基线
43,100.06,基线
44,100.28,基线
45,100.07,基线
46,99.64,基线
47,100.79,基线
48,100.44,基线
49,99.23,基线
50,99.93,基线
